cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
I.E. NORMAL SUPERIOR SANTA CLARA,239.43396226415095,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,4
I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,285.3888888888889,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,BOYACA,9
I.E. NUCLEO ESCOLAR RURAL CALOTO,251.0,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,5
I.E. NUCLEO TÉCNICO AGROPECUARIO,243.2093023255814,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,CAUCA,4
I.E. NUESTRA SEÑORA DE FATIMA,287.78125,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CESAR,9
I.E. NUESTRA SEÑORA DE LA ANTIGUA,261.9655172413793,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,6
I.E. NUESTRA SEÑORA DE LA CANDELARIA,246.48717948717947,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,ATLANTICO,5
I.E. NUESTRA SEÑORA DE LA NAVAL,234.2941176470588,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOYACA,3
I.E. NUESTRA SEÑORA DE LA PRESENTACIÓN,276.06060606060606,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,RISARALDA,8
I.E. NUESTRA SEÑORA DE LAS LAJAS,264.7878787878788,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,NARIÑO,7
I.E. NUESTRA SEÑORA DE LAS MERCEDES,248.80555555555554,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,5
I.E. NUESTRA SEÑORA DEL CARMEN,219.06666666666666,N,ACADÉMICO,A,FEMENINO,MAÑANA,OFICIAL,URBANO,NARIÑO,2
I.E. NUESTRA SEÑORA DEL CARMEN DE BARBOSA,228.66101694915255,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOLIVAR,2
I.E. NUESTRA SEÑORA DEL ROSARIO -ANTES (I.E. URB DE NIÑAS NTA SRA DEL ROSARIO),236.26190476190476,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,3
I.E. NUEVA ESPERANZA,276.77777777777777,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,BOYACA,8
I.E. NUEVA ESTRELLA,213.6315789473684,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,1
I.E. NUEVA GENERACION,253.42,S,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,BOYACA,5
I.E. NUEVA GRANADA,197.11111111111111,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ANTIOQUIA,1
I.E. NUEVA VISTA HERMOSA,225.07692307692307,N,ACADÉMICO,A,MIXTO,TARDE,OFICIAL,RURAL,SUCRE,2
I.E. NUEVO ORIENTE,215.625,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,ANTIOQUIA,1
I.E. OLAYA (ANTES C.E. OLAYA),206.17142857142858,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,1
I.E. PABLO VALETTE,238.46,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,4
I.E. PABLO VI,208.3095238095238,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,CAUCA,1
I.E. PADRE MANUEL BRICEÑO JAUREGUI,260.3333333333333,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,NORTE SANTANDER,6
I.E. PADRE ROBERTO ARROYAVE VELEZ,251.3661971830986,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,ANTIOQUIA,5
I.E. PAJARITO,230.58823529411765,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,3
I.E. PALMAS DE VINO,231.8,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,3
I.E. PALO ALTO,225.0408163265306,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,2
I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS,228.5754716981132,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,NORTE SANTANDER,2
I.E. PAULINA (C.E. PAULINA),237.4,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,3
I.E. PAZ Y ESPERANZA,236.64705882352942,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ARAUCA,3
I.E. PIAGUA,223.46666666666667,Desconocido,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,2
I.E. PIEDRA DE LEON (ANTES C.E. PIEDRA DE LEON),229.95454545454547,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,3
